,Site,Year,potato_intensity,Lon,Lat,CPBA,CPBL,Month,tavg,tmin,tmax,category,Prop_potato,Day_in_Month
10975,25163,2018,0.13076,-89.2663498,44.42406127,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0548,11
10976,25164,2018,0.13076,-89.2663498,44.42406127,0.7,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0548,18
10977,25165,2018,0.13076,-89.2663498,44.42406127,1.7,6,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0548,25
10978,25166,2018,0.13076,-89.2663498,44.42406127,2,6.3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0548,2
10979,25167,2018,0.13076,-89.2663498,44.42406127,3.3,20,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0548,9
10980,25168,2018,0.13076,-89.2663498,44.42406127,2.3,7.5,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0548,16
10981,25169,2018,0.13076,-89.2663498,44.42406127,8,16.7,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0548,23
10982,25170,2018,0.13076,-89.2663498,44.42406127,5.7,8,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0548,30
10983,25171,2018,0.13076,-89.2663498,44.42406127,7.3,7,8,19.80000019,13.60000038,26,Potatoes,0.0548,6
10984,25172,2018,0.13076,-89.2663498,44.42406127,6.5,8.5,8,19.80000019,13.60000038,26,Potatoes,0.0548,13
10985,25173,2018,0.13076,-89.2663498,44.42406127,2.3,3.3,8,19.80000019,13.60000038,26,Potatoes,0.0548,20
10986,25174,2018,0.13076,-89.2663498,44.42406127,6,9.3,8,19.80000019,13.60000038,26,Potatoes,0.0548,27
10987,25188,2011,0.041377551,-89.32277005,44.37924547,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0229,10
10988,25189,2011,0.041377551,-89.32277005,44.37924547,0.2,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0229,17
10989,25190,2011,0.041377551,-89.32277005,44.37924547,2,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0229,24
10990,25191,2011,0.041377551,-89.32277005,44.37924547,0.5,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0229,30
10991,25192,2011,0.041377551,-89.32277005,44.37924547,1,10.2,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0229,8
10992,25193,2011,0.041377551,-89.32277005,44.37924547,0.5,5.5,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0229,15
10993,25194,2011,0.041377551,-89.32277005,44.37924547,1,4,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0229,22
10994,25195,2011,0.041377551,-89.32277005,44.37924547,3.9,1.3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0229,29
10995,25196,2011,0.041377551,-89.32277005,44.37924547,5.5,1.4,8,19.75,13.5,26,Potatoes,0.0229,5
10996,25197,2011,0.041377551,-89.32277005,44.37924547,3.3,4.5,8,19.75,13.5,26,Potatoes,0.0229,12
10997,25198,2011,0.041377551,-89.32277005,44.37924547,4.3,11.5,8,19.75,13.5,26,Potatoes,0.0229,19
10998,25199,2011,0.041377551,-89.32277005,44.37924547,1.4,22.8,8,19.75,13.5,26,Potatoes,0.0229,25
10999,252,2007,0.247120412,-89.57713972,44.03095641,0,0,7,21.25000048,14.80000019,27.70000076,Potatoes,0.122770919,16
11000,25200,2011,0.041377551,-89.32277005,44.37924547,0.5,3.5,9,14.90000057,8.600000381,21.20000076,Potatoes,0.0229,1
11001,25201,2015,0.06278,-89.32277005,44.37924547,0,0,5,13.54999971,6.699999809,20.39999962,Potatoes,0.0238,22
11002,25202,2015,0.06278,-89.32277005,44.37924547,0,0,5,13.54999971,6.699999809,20.39999962,Potatoes,0.0238,29
11003,25203,2015,0.06278,-89.32277005,44.37924547,1,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0238,5
11004,25204,2015,0.06278,-89.32277005,44.37924547,1.7,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0238,12
11005,25205,2015,0.06278,-89.32277005,44.37924547,1.3,1.6,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0238,19
11006,25206,2015,0.06278,-89.32277005,44.37924547,2.3,10,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0238,26
11007,25207,2015,0.06278,-89.32277005,44.37924547,0.5,3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0238,3
11008,25208,2015,0.06278,-89.32277005,44.37924547,0.7,15,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0238,10
11009,25209,2015,0.06278,-89.32277005,44.37924547,0.5,10.3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0238,17
11010,25210,2015,0.06278,-89.32277005,44.37924547,0.5,3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0238,24
11011,25211,2015,0.06278,-89.32277005,44.37924547,4.7,11,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0238,31
11012,25212,2015,0.06278,-89.32277005,44.37924547,1.5,1,8,19.75,13.5,26,Potatoes,0.0238,7
11013,25213,2015,0.06278,-89.32277005,44.37924547,13.3,0.8,8,19.75,13.5,26,Potatoes,0.0238,14
11014,25214,2015,0.06278,-89.32277005,44.37924547,24,1.1,8,19.75,13.5,26,Potatoes,0.0238,21
11015,25215,2015,0.06278,-89.32277005,44.37924547,0,0,8,19.75,13.5,26,Potatoes,0.0238,28
11016,25216,2018,0.04818,-89.32277005,44.37924547,0,0,5,13.54999971,6.699999809,20.39999962,Potatoes,0.0232,22
11017,25217,2018,0.04818,-89.32277005,44.37924547,0,0,5,13.54999971,6.699999809,20.39999962,Potatoes,0.0232,29
11018,25218,2018,0.04818,-89.32277005,44.37924547,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,4
11019,25219,2018,0.04818,-89.32277005,44.37924547,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,11
11020,25220,2018,0.04818,-89.32277005,44.37924547,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,13
11021,25221,2018,0.04818,-89.32277005,44.37924547,0.7,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,18
11022,25222,2018,0.04818,-89.32277005,44.37924547,0,0,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,22
11023,25223,2018,0.04818,-89.32277005,44.37924547,1.7,5.5,6,18.59999943,11.89999962,25.29999924,Potatoes,0.0232,25
11024,25224,2018,0.04818,-89.32277005,44.37924547,3.3,10.7,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,2
11025,25225,2018,0.04818,-89.32277005,44.37924547,0,0,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,6
11026,25226,2018,0.04818,-89.32277005,44.37924547,1.3,20,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,9
11027,25227,2018,0.04818,-89.32277005,44.37924547,1.5,7,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,16
11028,25228,2018,0.04818,-89.32277005,44.37924547,3.3,23.3,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,23
11029,25229,2018,0.04818,-89.32277005,44.37924547,5,6,7,21.04999972,14.69999981,27.39999962,Potatoes,0.0232,30
11030,25230,2018,0.04818,-89.32277005,44.37924547,0,0,8,19.75,13.5,26,Potatoes,0.0232,1
11031,25231,2018,0.04818,-89.32277005,44.37924547,10,5,8,19.75,13.5,26,Potatoes,0.0232,6
11032,25232,2018,0.04818,-89.32277005,44.37924547,13,9,8,19.75,13.5,26,Potatoes,0.0232,13
11033,25233,2018,0.04818,-89.32277005,44.37924547,0,0,8,19.75,13.5,26,Potatoes,0.0232,15
11034,25234,2018,0.04818,-89.32277005,44.37924547,3,6.7,8,19.75,13.5,26,Potatoes,0.0232,20
11035,25235,2018,0.04818,-89.32277005,44.37924547,18.3,9,8,19.75,13.5,26,Potatoes,0.0232,27
11036,25236,2018,0.04818,-89.32277005,44.37924547,0,0,8,19.75,13.5,26,Potatoes,0.0232,30
11037,25237,2018,0.04818,-89.32277005,44.37924547,0,0,9,14.90000057,8.600000381,21.20000076,Potatoes,0.0232,4
11038,25238,2018,0.04818,-89.32277005,44.37924547,0,0,9,14.90000057,8.600000381,21.20000076,Potatoes,0.0232,10
11039,25252,2007,0.31414738,-89.18013618,44.36810748,0,0,5,13.75000024,6.900000095,20.60000038,Potatoes,0.034979424,25
11040,25253,2007,0.31414738,-89.18013618,44.36810748,0,0,5,13.75000024,6.900000095,20.60000038,Potatoes,0.034979424,31
11041,25254,2007,0.31414738,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.034979424,8
11042,25255,2007,0.31414738,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.034979424,14
11043,25256,2007,0.31414738,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.034979424,21
11044,25257,2007,0.31414738,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.034979424,28
11045,25258,2007,0.31414738,-89.18013618,44.36810748,0,0,7,21.20000029,14.80000019,27.60000038,Potatoes,0.034979424,5
11046,25259,2007,0.31414738,-89.18013618,44.36810748,0,0,7,21.20000029,14.80000019,27.60000038,Potatoes,0.034979424,12
11047,25260,2007,0.31414738,-89.18013618,44.36810748,0,0,7,21.20000029,14.80000019,27.60000038,Potatoes,0.034979424,19
11048,25261,2007,0.31414738,-89.18013618,44.36810748,0,0.6,7,21.20000029,14.80000019,27.60000038,Potatoes,0.034979424,26
11049,25262,2007,0.31414738,-89.18013618,44.36810748,0,0.2,8,19.95000029,13.69999981,26.20000076,Potatoes,0.034979424,2
11050,25263,2007,0.31414738,-89.18013618,44.36810748,0.2,0.6,8,19.95000029,13.69999981,26.20000076,Potatoes,0.034979424,9
11051,25264,2007,0.31414738,-89.18013618,44.36810748,1.6,0,8,19.95000029,13.69999981,26.20000076,Potatoes,0.034979424,16
11052,25265,2007,0.31414738,-89.18013618,44.36810748,0.3,0.4,8,19.95000029,13.69999981,26.20000076,Potatoes,0.034979424,23
11053,25266,2010,0.09722738,-89.18013618,44.36810748,0,0,5,13.75000024,6.900000095,20.60000038,Potatoes,0.0488,28
11054,25267,2010,0.09722738,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0488,4
11055,25268,2010,0.09722738,-89.18013618,44.36810748,0.1,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0488,10
11056,25269,2010,0.09722738,-89.18013618,44.36810748,0.4,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0488,18
11057,25270,2010,0.09722738,-89.18013618,44.36810748,0,1,6,18.80000019,12.10000038,25.5,Potatoes,0.0488,25
11058,25271,2010,0.09722738,-89.18013618,44.36810748,0,0,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0488,2
11059,25272,2010,0.09722738,-89.18013618,44.36810748,0.5,0.5,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0488,9
11060,25273,2010,0.09722738,-89.18013618,44.36810748,0.8,0.3,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0488,16
11061,25274,2010,0.09722738,-89.18013618,44.36810748,0,0.3,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0488,23
11062,25275,2010,0.09722738,-89.18013618,44.36810748,0,14.2,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0488,30
11063,25276,2010,0.09722738,-89.18013618,44.36810748,0.9,1.6,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0488,6
11064,25277,2010,0.09722738,-89.18013618,44.36810748,0.5,1,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0488,13
11065,25278,2010,0.09722738,-89.18013618,44.36810748,1.5,1.5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0488,20
11066,25279,2014,0.06448,-89.18013618,44.36810748,0,0,5,13.75000024,6.900000095,20.60000038,Potatoes,0.0291,30
11067,25280,2014,0.06448,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0291,5
11068,25281,2014,0.06448,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0291,13
11069,25282,2014,0.06448,-89.18013618,44.36810748,0,0,6,18.80000019,12.10000038,25.5,Potatoes,0.0291,20
11070,25283,2014,0.06448,-89.18013618,44.36810748,1.3,1,6,18.80000019,12.10000038,25.5,Potatoes,0.0291,27
11071,25284,2014,0.06448,-89.18013618,44.36810748,1.3,1,6,18.80000019,12.10000038,25.5,Potatoes,0.0291,27
11072,25285,2014,0.06448,-89.18013618,44.36810748,0,0,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0291,3
11073,25286,2014,0.06448,-89.18013618,44.36810748,0.7,2,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0291,11
11074,25287,2014,0.06448,-89.18013618,44.36810748,0.5,4.7,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0291,18
11075,25288,2014,0.06448,-89.18013618,44.36810748,0,0.1,7,21.20000029,14.80000019,27.60000038,Potatoes,0.0291,25
11076,25289,2014,0.06448,-89.18013618,44.36810748,1,0.9,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0291,1
11077,25290,2014,0.06448,-89.18013618,44.36810748,0.3,0,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0291,8
11078,25291,2014,0.06448,-89.18013618,44.36810748,0.7,1,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0291,14
11079,25292,2014,0.06448,-89.18013618,44.36810748,0.1,0,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0291,22
11080,25293,2014,0.06448,-89.18013618,44.36810748,4.7,2.5,8,19.95000029,13.69999981,26.20000076,Potatoes,0.0291,29
11081,25294,2017,0.07062,-89.18013618,44.36810748,0,0,5,13.75000024,6.900000095,20.60000038,Potatoes,0.0387,28
